FID_wwf_bi,BIOME,biome2,name,area,FID_www_in,FID_WWW_ed,OBJECTID,NAME_1,at_risk,Map_number,COUNTRY,TYPE,Region,FID_contin,FID_1,CONTINENT,sq_km
4,5,5,Temperate_coniferous_forests,0,97,96,133,PANJSHER,,,Afghanistan,,,1,2,Asia,58
4,5,5,Temperate_coniferous_forests,0,106,105,147,Greater Gila,,,USA,,,3,4,North America,68433
5,6,6,Boreal_forests_taiga,0,1,1,3,Gates of the Arctic,n,12,USA,WCS areas of work,Arctic Beringia,3,4,North America,2492
5,6,6,Boreal_forests_taiga,0,2,2,4,Noatak,n,6,USA,WCS areas of work,Arctic Beringia,3,4,North America,343
5,6,6,Boreal_forests_taiga,0,3,3,5,Kobuk Valley,n,5,USA,WCS areas of work,Arctic Beringia,3,4,North America,4056
5,6,6,Boreal_forests_taiga,0,5,5,7,Arctic,1002 area is,13,USA,WCS areas of work,Arctic Beringia,3,4,North America,10579
5,6,6,Boreal_forests_taiga,0,6,6,8,Selawik NWR,n,21,USA,WCS areas of work,Arctic Beringia,3,4,North America,4349
5,6,6,Boreal_forests_taiga,0,7,7,9,Yukon Delta NWR,n,22,USA,WCS areas of work,Arctic Beringia,3,4,North America,13905
5,6,6,Boreal_forests_taiga,0,66,65,94,Northeast Asia Tiger Stronghold,,,"Russia, China","WCS areas of work, F",Temperate Asia,1,2,Asia,94795
5,6,6,Boreal_forests_taiga,0,88,87,124,,,,Canada,,Northern Boreal,3,4,North America,326809
5,6,6,Boreal_forests_taiga,0,89,88,125,,,,Canada,,Northern Boreal,3,4,North America,450934
6,7,7,Tropical_and_subtropical_grasslands_savannas,0,16,16,18,Mbam et Djerem,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,3862
6,7,7,Tropical_and_subtropical_grasslands_savannas,0,18,18,20,Ituri,,,DRC,WCS areas of work,Central Africa,0,1,Africa,1875
6,7,7,Tropical_and_subtropical_grasslands_savannas,0,19,19,21,Kabobo,,,DRC,WCS areas of work,Central Africa,0,1,Africa,6239
6,7,7,Tropical_and_subtropical_grasslands_savannas,0,20,20,22,Yankari,,,Nigeria,WCS areas of work,Central Africa,0,1,Africa,2761
6,7,7,Tropical_and_subtropical_grasslands_savannas,0,22,22,24,Rey Bouba,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,498
6,7,7,Tropical_and_subtropical_grasslands_savannas,0,23,23,25,Mayo-Bidjou,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,567
6,7,7,Tropical_and_subtropical_grasslands_savannas,0,24,24,26,Campement des Rh,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,437
6,7,7,Tropical_and_subtropical_grasslands_savannas,0,25,25,27,Mayo-Nduele,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,1193
6,7,7,Tropical_and_subtropical_grasslands_savannas,0,26,26,28,Sorombeo,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,634
6,7,7,Tropical_and_subtropical_grasslands_savannas,0,27,27,29,Mayo-Oldiri-Nord,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,1042
6,7,7,Tropical_and_subtropical_grasslands_savannas,0,28,28,30,Djibao,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,733
6,7,7,Tropical_and_subtropical_grasslands_savannas,0,29,29,31,Bouba Ndjidda,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,2086
6,7,7,Tropical_and_subtropical_grasslands_savannas,0,30,30,32,Sene Oura,,,Chad,WCS areas of work,Central Africa,0,1,Africa,726
6,7,7,Tropical_and_subtropical_grasslands_savannas,0,36,36,44,Paraguayan Chaco,,,Paraguay,WCS areas of work,Patagonia,5,6,South America,27181
6,7,7,Tropical_and_subtropical_grasslands_savannas,0,38,38,52,Madidi Tambopata,,,"Bolivia, Peru",WCS areas of work,AAO,5,6,South America,23966
6,7,7,Tropical_and_subtropical_grasslands_savannas,0,41,41,55,Eastern Savannas of Arauca and Vichada,,,Colombia,WCS areas of work,AAO,5,6,South America,45255
6,7,7,Tropical_and_subtropical_grasslands_savannas,0,47,47,62,Gabon,,,Gabon,Policy,Central Africa,0,1,Africa,46518
6,7,7,Tropical_and_subtropical_grasslands_savannas,0,48,48,63,South Sudan,,,South Sudan,WCS areas of work,Sudano-Sahel,0,1,Africa,400
6,7,7,Tropical_and_subtropical_grasslands_savannas,0,49,49,64,South Sudan,,,South Sudan,WCS areas of work,Sudano-Sahel,0,1,Africa,16157
6,7,7,Tropical_and_subtropical_grasslands_savannas,0,50,50,65,South Sudan,,,South Sudan,WCS areas of work,Sudano-Sahel,0,1,Africa,586
6,7,7,Tropical_and_subtropical_grasslands_savannas,0,51,51,66,South Sudan,,,South Sudan,WCS areas of work,Sudano-Sahel,0,1,Africa,2598
6,7,7,Tropical_and_subtropical_grasslands_savannas,0,52,52,67,Central African Republic,,,Central African Republic,WCS areas of work,Sudano-Sahel,0,1,Africa,98897
6,7,7,Tropical_and_subtropical_grasslands_savannas,0,60,59,86,Ruaha-Katavi,,,Tanzania,,East Africa and West Indian Ocean,0,1,Africa,71300
6,7,7,Tropical_and_subtropical_grasslands_savannas,0,61,60,87,,,,Mozambique,,East Africa and West Indian Ocean,0,1,Africa,40926
6,7,7,Tropical_and_subtropical_grasslands_savannas,0,109,108,0,,,,,,,0,1,Africa,1076
7,8,8,Temperate_grasslands_savannas_and_shriblands,0,33,33,36,Payunia - Laguna Blanca,,,Argentina,WCS areas of work,Patagonia,5,6,South America,71303
7,8,8,Temperate_grasslands_savannas_and_shriblands,0,34,34,38,Valdes,,,Argentina,WCS areas of work,Patagonia,5,6,South America,21620
7,8,8,Temperate_grasslands_savannas_and_shriblands,0,35,35,40,Tierra del Fuego,,,Argentina-Chile,WCS areas of work,Patagonia,5,6,South America,14795
7,8,8,Temperate_grasslands_savannas_and_shriblands,0,90,89,126,Iinnii Home  Land,,,USA,WCS areas of work,,3,4,North America,152146
7,8,8,Temperate_grasslands_savannas_and_shriblands,0,91,90,127,High Divide,,,USA,WCS areas of work,,3,4,North America,49982
7,8,8,Temperate_grasslands_savannas_and_shriblands,0,92,91,128,ESHKASHIM,,,Afghanistan,,,1,2,Asia,512
8,9,9,Flooded_grasslands_and_savannas,0,48,48,63,South Sudan,,,South Sudan,WCS areas of work,Sudano-Sahel,0,1,Africa,1348
8,9,9,Flooded_grasslands_and_savannas,0,49,49,64,South Sudan,,,South Sudan,WCS areas of work,Sudano-Sahel,0,1,Africa,3600
